DBN,Cohort,Total Enrolled,Total Present,Average Attendance
02M560,2008,128666.0,113229.0,0.8800226944181058
02M565,2006,22582.0,21978.0,0.9732530333894253
02M565,2007,24967.0,24330.0,0.9744863219449673
02M565,2008,24498.0,23798.0,0.971426238876643
02M570,2007,150726.0,99442.0,0.6597534599206507
02M570,2008,134456.0,96206.0,0.7155203189147379
02M575,2006,126196.0,85433.0,0.676986592285017
02M575,2007,109167.0,85457.0,0.782809823481455
02M575,2008,102226.0,83817.0,0.8199186117034806
02M580,2006,107183.0,91172.0,0.8506199677187614
02M580,2007,102214.0,88716.0,0.8679437259083883
02M580,2008,99964.0,88096.0,0.8812772598135329
02M586,2006,14215.0,10736.0,0.7552585297221245
02M586,2007,15323.0,10940.0,0.7139594074267441
02M586,2008,15413.0,11386.0,0.7387270485953416
02M600,2006,277393.0,243810.0,0.8789334986823748
02M600,2007,278423.0,247144.0,0.8876565513624952
02M600,2008,281495.0,251921.0,0.8949395193520311
02M605,2006,28015.0,22340.0,0.7974299482420132
02M605,2007,30009.0,23871.0,0.7954613615915226
02M605,2008,28002.0,23061.0,0.8235483179772873
02M615,2006,157379.0,119262.0,0.7578012314222355
02M615,2007,155419.0,117862.0,0.7583500086861966
02M615,2008,122942.0,95417.0,0.7761139399066226
02M620,2006,357239.0,268353.0,0.7511861806801609
02M620,2007,349286.0,262787.0,0.7523548037997515
02M620,2008,343957.0,256295.0,0.7451367467445058
02M625,2006,303329.0,217656.0,0.7175575035687323
02M625,2007,307202.0,210045.0,0.6837357829701629
02M625,2008,302082.0,218415.0,0.7230321568315887
02M630,2006,233821.0,208536.0,0.8918617232840507
02M630,2007,227358.0,204797.0,0.9007688315344083
02M630,2008,238807.0,207245.0,0.867834694962878
02M655,2006,132730.0,107582.0,0.8105326602878024
02M655,2007,128621.0,106595.0,0.8287526920176332
02M655,2008,123138.0,100206.0,0.8137699166788481
02M690,2006,61620.0,47958.0,0.7782862706913339
02M690,2007,33020.0,24490.0,0.741671714112659
02M690,2008,18939.0,12886.0,0.6803949522150061
02M896,2006,40067.0,37061.0,0.9249756657598522
02M896,2007,39353.0,36780.0,0.9346174370441898
02M896,2008,40359.0,37538.0,0.9301023315741223
03M009,2006,91490.0,86630.0,0.9468794403759974
03M009,2007,94248.0,89317.0,0.9476805873864698
03M009,2008,95322.0,90686.0,0.9513648475692914
03M044,2006,91287.0,77686.0,0.8510083582547351
03M044,2007,74871.0,64703.0,0.8641930787621376
03M044,2008,51399.0,44855.0,0.8726823479056013
03M054,2006,177152.0,163809.0,0.9246805003612717
03M054,2007,162176.0,149983.0,0.9248162490134175
03M054,2008,147708.0,138924.0,0.9405313185474043
03M075,2006,153349.0,141912.0,0.9254184898499501
03M075,2007,146695.0,136403.0,0.9298408262040287
03M075,2008,138222.0,127633.0,0.9233913559346558
03M076,2006,83903.0,74185.0,0.8841757744061595
03M076,2007,77580.0,70274.0,0.9058262438772879
03M076,2008,66583.0,59255.0,0.8899418770557049
03M084,2006,83897.0,76461.0,0.9113675101612692
03M084,2007,78122.0,71918.0,0.9205857504928189
03M084,2008,82310.0,75900.0,0.9221236787753614
03M087,2006,161279.0,152461.0,0.9453245617842373
03M087,2007,166465.0,156798.0,0.9419277325563933
03M087,2008,166310.0,156583.0,0.9415128374721905
03M145,2006,107409.0,96168.0,0.8953439655894757
03M145,2007,97454.0,88692.0,0.9100909146879553
03M145,2008,88754.0,79917.0,0.9004326565563242
03M149,2006,59966.0,53451.0,0.891355101224027
03M149,2007,88662.0,78714.0,0.8877986059416662
03M149,2008,76490.0,67585.0,0.8835795528827298
03M163,2006,118786.0,109037.0,0.9179280386577543
03M163,2007,120207.0,111932.0,0.9311604149508764
03M163,2008,114815.0,107636.0,0.9374733266559248
03M165,2006,113868.0,103928.0,0.9127059402114729
03M165,2007,108460.0,99848.0,0.9205974552830537
03M165,2008,118307.0,109019.0,0.9214923884470065
03M166,2006,113440.0,105356.0,0.928737658674189
03M166,2007,110735.0,103326.0,0.9330925181740191
03M166,2008,110680.0,102689.0,0.9278008673653777
03M180,2006,94783.0,86549.0,0.9131278815821403
03M180,2007,105352.0,97572.0,0.9261523274356444
03M180,2008,108056.0,99060.0,0.9167468719923003
03M185,2006,58655.0,53419.0,0.9107322478902055
03M185,2007,55925.0,51016.0,0.912221725525257
03M185,2008,49189.0,44182.0,0.8982089491552989
03M191,2006,55556.0,50200.0,0.9035927712578299
03M191,2007,56783.0,51453.0,0.9061338780973178
03M191,2008,52995.0,47667.0,0.89946221341636
03M199,2006,102958.0,96938.0,0.941529555741176
03M199,2007,109147.0,102895.0,0.9427194517485593
03M199,2008,119373.0,112707.0,0.9441582267346887
03M208,2006,47202.0,43456.0,0.9206389559764416
03M208,2007,41983.0,38725.0,0.9223971607555439
03M208,2008,37911.0,34851.0,0.9192846403418533
03M241,2006,77279.0,70532.0,0.9126929696295242
03M241,2007,67326.0,60813.0,0.9032617413777738
03M241,2008,52881.0,48270.0,0.91280422079764
03M242,2006,52025.0,47829.0,0.9193464680442095
